number,name,status
521,Managing global context via ‘with’ blocks in generators and corouti,Withdrawn
516,Build system abstraction for pip/conda etc,Rejected
513,A Platform Tag for Portable Linux Built Distributi,Superseded
510,Specialize functions with guard,Rejected
509,Add a private version to dic,Superseded
511,API for code transform,Rejected
507,Migrate CPython to Git and GitLab,Rejected
504,Using the System RNG by defaul,Withdrawn
502,String Interpolation - Extended Discussi,Rejected
497,A standard mechanism for backward compatibili,Rejected
500,A protocol for delegating datetime methods to their tzinfo implementati,Rejected
496,Environment Mark,Rejected
490,Chain exceptions at C level,Rejected
481,"Migrate CPython to Git, Github, and Phabrica",Withdrawn
474,Creating f,Withdrawn
473,Adding structured data to built-in excepti,Rejected
472,Support for indexing with keyword argum,Rejected
469,Migration of dict iteration code to Python 3,Withdrawn
463,Exception-catching expressi,Rejected
462,Core development workflow automation for CP,Withdrawn
460,Add binary interpolation and formatti,Withdrawn
459,Standard Metadata Extensions for Python Software Packa,Withdrawn
455,Adding a key-transforming dictionary to collecti,Rejected
439,Inclusion of implicit pip bootstrap in Python installati,Rejected
437,"A DSL for specifying signatures, annotations and argument conv",Rejected
433,Easier suppression of file descriptor inheritanc,Superseded
431,Time zone support improvem,Superseded
432,Restructuring the CPython startup sequenc,Withdrawn
426,Metadata for Python Software Packages 2.0,Withdrawn
422,Simpler customisation of class creati,Withdrawn
416,Add a frozendict builti,Rejected
413,Faster evolution of the Python Standard Libra,Withdrawn
411,Provisional packages in the Python standard libra,Superseded
410,Use decimal.Decimal type for timestam,Rejected
406,Improved Encapsulation of Import Sta,Withdrawn
408,Standard library __preview__ packa,Rejected
401,BDFL Retirem,April Fool!
402,Simplified Package Layout and Partitioni,Rejected
396,Module Version Numb,Rejected
395,Qualified Names for Modul,Withdrawn
390,Static metadata for Distutil,Rejected
386,Changing the version comparison module in Distutil,Superseded
382,Namespace Packa,Rejected
381,Mirroring infrastructure for PyPI,Withdrawn
379,Adding an Assignment Expressi,Withdrawn
377,Allow __enter__() methods to skip the statement bod,Rejected
369,Post import hook,Withdrawn
367,New Su,Superseded
365,Adding the pkg_resources modul,Rejected
364,Transitioning to the Py3K Standard Libra,Withdrawn
363,Syntax For Dynamic Attribute Acc,Rejected
359,The “make” Statem,Withdrawn
354,Enumerations in P,Superseded
355,Path - Object oriented filesystem pa,Rejected
351,The freeze protocol,Rejected
350,Codeta,Rejected
349,Allow str() to return unicode stri,Rejected
348,Exception Reorganization for Python 3.0,Rejected
345,Metadata for Python Software Packages 1.2,Superseded
346,User Defined (”with”) Statem,Withdrawn
344,Exception Chaining and Embedded Traceback,Superseded
340,Anonymous Block Statem,Rejected
339,Design of the CPython Compil,Withdrawn
336,Make None Callabl,Rejected
335,Overloadable Boolean Opera,Rejected
332,Byte vectors and String/Unicode Unificati,Rejected
330,Python Bytecode Verificati,Rejected
334,Simple Coroutines via SuspendIterati,Withdrawn
329,Treating Builtins as Constants in the Standard Libra,Rejected
326,A Case for Top and Bottom Valu,Rejected
325,Resource-Release Support for Genera,Rejected
321,Date/Time Parsing and Formatti,Withdrawn
319,Python Synchronize/Asynchronize Block,Rejected
317,Eliminate Implicit Exception Instantiati,Rejected
315,Enhanced While L,Rejected
314,Metadata for Python Software Packages 1.1,Superseded
313,Adding Roman Numeral Literals to P,Rejected
310,Reliable Acquisition/Release Pai,Rejected
306,How to Change Python’s Gramma,Withdrawn
304,Controlling Generation of Bytecode Fil,Withdrawn
303,Extend divmod() for Multiple Divi,Rejected
299,Special __main__() function in modul,Rejected
297,Support for System Upgrad,Rejected
298,The Locked Buffer Interfac,Withdrawn
296,Adding a bytes Object T,Withdrawn
295,Interpretation of multiline string consta,Rejected
294,Type Names in the types Modul,Rejected
288,Generators Attributes and Excepti,Withdrawn
284,Integer for-l,Rejected
281,Loop Counter Iteration with range and xra,Rejected
276,Simple Iterator for i,Rejected
275,Switching on Multiple Valu,Rejected
271,Prefixing sys.path by command line opti,Rejected
270,uniq method for list objec,Rejected
268,Extended HTTP functionality and WebDAV,Rejected
266,Optimizing Global Variable/Attribute Acc,Withdrawn
265,Sorting Dictionaries by Valu,Rejected
262,A Database of Installed Python Packa,Rejected
259,Omit printing newline after newli,Rejected
258,Docutils Design Specificati,Rejected
256,Docstring Processing System Framework,Rejected
254,Making Classes Look More Like T,Rejected
246,Object Adaptati,Rejected
245,Python Interface Syntax,Rejected
244,The directive statem,Rejected
243,Module Repository Upload Mechanism,Withdrawn
242,Numeric Kind,Rejected
240,Adding a Rational Literal to P,Rejected
241,Metadata for Python Software Packa,Superseded
239,Adding a Rational Type to P,Rejected
231,__findattr__(),Rejected
228,Reworking Python’s Numeric Model,Withdrawn
225,Elementwise/Objectwise Opera,Rejected
224,Attribute Docstri,Rejected
220,"Coroutines, Generators, Continuati",Rejected
216,Docstring Forma,Rejected
215,String Interpolati,Superseded
212,Loop Counter Iterati,Rejected
211,Adding A New Outer Product Opera,Rejected
210,Decoupling the Interpreter L,Rejected
206,Python Advanced Libra,Withdrawn
204,Range Literal,Rejected
209,Multi-dimensional Arra,Withdrawn
102,Doing Python Micro Relea,Superseded
103,Collecting information about gi,Withdrawn
9,Sample Plaintext PEP Templa,Withdrawn
42,Feature Requ,Withdrawn
3,Guidelines for Handling Bug R,Withdrawn
